Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Segl-Maria
Altitude [m asl]:         1804 m
Coordinates:              46° 25.9' N / 9° 45.7' E

Reference date of homogenization:
         Temperature:     01.12.2017
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1953     12               -3.1               13.7  
1954      1               -9.4               42.6  
1954      2               -7.5               36.1  
1954      3               -3.1               61.0  
1954      4               -0.5               49.8  
1954      5                3.9              127.8  
1954      6                9.0              161.9  
1954      7                8.6              122.5  
1954      8                8.9              230.7  
1954      9                7.9              150.8  
1954     10                3.4               38.1  
1954     11               -1.0               23.6  
1954     12               -4.1              210.9  
1955      1               -6.3               52.8  
1955      2               -7.6              110.5  
1955      3               -5.4               38.7  
1955      4                0.1                3.6  
1955      5                3.9               76.2  
1955      6                8.5              120.8  
1955      7               10.8              102.2  
1955      8                9.3               46.3  
1955      9                7.3               50.7  
1955     10                2.0               91.3  
1955     11               -2.2               14.1  
1955     12               -3.1               24.4  
1956      1               -6.7               50.9  
1956      2              -14.4                1.5  
1956      3               -4.1               69.8  
1956      4               -1.6               75.4  
1956      5                4.8               65.9  
1956      6                6.2              100.1  
1956      7               10.1              135.0  
1956      8                9.9              163.9  
1956      9                8.2              139.0  
1956     10                1.6               55.1  
1956     11               -3.7               18.9  
1956     12               -6.8                2.6  
1957      1               -8.0               61.5  
1957      2               -4.0               66.5  
1957      3               -1.0               28.8  
1957      4                0.4               27.0  
1957      5                2.6               57.4  
1957      6                8.7              203.7  
1957      7               10.0              155.7  
1957      8                9.4              176.1  
1957      9                7.0               38.3  
1957     10                3.7               23.0  
1957     11               -0.9              116.5  
1957     12               -6.6               71.1  
1958      1               -9.0               29.7  
1958      2               -3.8               82.9  
1958      3               -7.3               12.4  
1958      4               -2.1              103.4  
1958      5                6.5               85.8  
1958      6                7.6              124.2  
1958      7               10.8              117.5  
1958      8               11.1              174.2  
1958      9                8.7               95.2  
1958     10                2.7              132.7  
1958     11               -1.4               29.1  
1958     12               -5.0              145.3  
1959      1               -8.1               29.1  
1959      2               -5.6                1.1  
1959      3               -0.9               65.2  
1959      4                0.4               63.0  
1959      5                5.0               48.3  
1959      6                8.7               65.3  
1959      7               12.0               58.7  
1959      8               10.0               59.3  
1959      9                8.4               11.8  
1959     10                2.6              109.6  
1959     11               -3.1              128.1  
1959     12               -5.6              102.6  
1960      1               -7.8               91.7  
1960      2               -6.0               87.3  
1960      3               -2.9               71.3  
1960      4                0.1               28.7  
1960      5                5.5               97.9  
1960      6                9.1              111.3  
1960      7                8.7              168.7  
1960      8                9.4              149.2  
1960      9                5.6              309.7  
1960     10                1.4              270.8  
1960     11               -2.2              105.6  
1960     12               -7.4              122.8  
1961      1               -9.2               55.9  
1961      2               -4.1               57.6  
1961      3               -2.7                9.4  
1961      4                3.0               70.6  
1961      5                3.9              101.9  
1961      6                9.2              100.1  
1961      7                9.5               54.5  
1961      8               10.2               54.7  
1961      9               10.2                9.3  
1961     10                3.6               89.7  
1961     11               -2.4               85.3  
1961     12               -4.6               59.2  
1962      1               -6.9               53.7  
1962      2               -6.8               23.3  
1962      3               -7.3               57.0  
1962      4               -1.5              139.9  
1962      5                2.9               91.7  
1962      6                7.8               37.8  
1962      7               10.0               50.0  
1962      8               11.9               78.5  
1962      9                7.2               50.2  
1962     10                3.6               20.3  
1962     11               -3.8               76.8  
1962     12               -8.6               59.4  
1963      1              -11.3               30.4  
1963      2              -11.6               18.2  
1963      3               -5.0               58.1  
1963      4                0.6               71.8  
1963      5                3.9               72.9  
1963      6                8.0              187.7  
1963      7               11.3               86.8  
1963      8                9.1              201.7  
1963      9                7.8               83.2  
1963     10                3.4               34.9  
1963     11               -0.2              344.1  
1963     12               -8.4               21.7  
1964      1               -8.2                8.9  
1964      2               -5.2                8.0  
1964      3               -3.1               56.0  
1964      4                1.2               76.0  
1964      5                6.6               32.0  
1964      6                9.7              106.9  
1964      7               11.5               45.2  
1964      8                9.6              113.6  
1964      9                7.8               22.3  
1964     10                1.3              119.8  
1964     11                0.2               59.3  
1964     12               -6.9               34.9  
1965      1               -6.3               27.9  
1965      2              -10.3                3.5  
1965      3               -4.6               58.0  
1965      4               -1.2                6.3  
1965      5                4.1               93.2  
1965      6                8.7               74.3  
1965      7                8.9              156.0  
1965      8                9.0              151.4  
1965      9                5.0              300.5  
1965     10                3.2                6.7  
1965     11               -2.8               77.4  
1965     12               -6.1               58.8  
1966      1               -9.4               14.6  
1966      2               -2.2               68.7  
1966      3               -4.8               11.6  
1966      4                1.2               77.4  
1966      5                5.1               90.8  
1966      6                8.9               73.3  
1966      7                8.5              183.1  
1966      8                8.4              146.6  
1966      9                8.8               51.5  
1966     10                4.9              133.3  
1966     11               -4.5              135.6  
1966     12               -6.1               76.9  
1967      1               -7.7                9.5  
1967      2               -6.9               64.9  
1967      3               -2.4               71.3  
1967      4               -0.9               79.5  
1967      5                3.9              119.5  
1967      6                7.5               40.2  
1967      7               11.5              103.5  
1967      8                9.9              147.8  
1967      9                6.5               97.9  
1967     10                4.5               61.3  
1967     11               -0.7              147.4  
1967     12               -6.5               11.3  
1968      1               -8.4               48.9  
1968      2               -5.7              114.6  
1968      3               -4.7               67.7  
1968      4                0.6               95.0  
1968      5                3.7              109.6  
1968      6                7.7              117.9  
1968      7                9.7               88.5  
1968      8                8.6              118.8  
1968      9                6.3              150.6  
1968     10                4.6               40.0  
1968     11               -1.4              180.9  
1968     12               -8.2               24.5  
1969      1               -7.1               66.7  
1969      2               -9.8               39.5  
1969      3               -3.9               17.2  
1969      4               -0.7               25.0  
1969      5                5.6              171.5  
1969      6                7.0              104.1  
1969      7               11.0               82.9  
1969      8                9.1              107.5  
1969      9                8.1               47.8  
1969     10                5.1                0.0  
1969     11               -2.3              157.1  
1969     12               -9.7                5.0  
1970      1               -7.1               74.1  
1970      2               -8.0               60.4  
1970      3               -6.2               50.7  
1970      4               -2.5               75.4  
1970      5                2.9               47.7  
1970      6                9.2               88.2  
1970      7                9.9               68.2  
1970      8                9.9              175.0  
1970      9                8.7               77.4  
1970     10                2.9               49.4  
1970     11               -0.7              163.1  
1970     12               -7.1               36.5  
1971      1               -8.2               57.4  
1971      2               -6.6               29.6  
1971      3               -7.4              100.7  
1971      4                1.3               59.8  
1971      5                5.1               61.9  
1971      6                7.0              119.1  
1971      7               11.2               74.7  
1971      8               11.6              145.9  
1971      9                6.5               22.7  
1971     10                4.0                6.4  
1971     11               -2.9              125.7  
1971     12               -3.9               26.8  
1972      1               -7.9               30.0  
1972      2               -3.9               44.6  
1972      3               -2.0               79.6  
1972      4                0.0               56.5  
1972      5                3.7               78.1  
1972      6                7.3              132.8  
1972      7                9.4              149.5  
1972      8                9.6               56.9  
1972      9                3.8               62.5  
1972     10                1.6               47.5  
1972     11               -1.7               24.0  
1972     12               -5.7               29.8  
1973      1               -6.5               30.8  
1973      2               -7.8               13.7  
1973      3               -4.7                4.9  
1973      4               -3.1               63.8  
1973      5                5.1               88.7  
1973      6                9.1              101.4  
1973      7                9.4              194.9  
1973      8               11.6               60.8  
1973      9                8.2              142.2  
1973     10                2.5               70.5  
1973     11               -1.6               22.4  
1973     12               -6.2               62.3  
1974      1               -4.2               17.6  
1974      2               -4.7               72.4  
1974      3               -2.7               46.1  
1974      4               -0.3               35.6  
1974      5                4.2               50.8  
1974      6                6.7               95.8  
1974      7               10.1               87.7  
1974      8               11.1              118.4  
1974      9                6.6              132.5  
1974     10               -2.3               31.5  
1974     11               -2.9               83.0  
1974     12               -3.5               14.5  
1975      1               -4.5               87.8  
1975      2               -7.2               15.5  
1975      3               -4.9              118.1  
1975      4               -0.3              182.3  
1975      5                3.8              120.8  
1975      6                6.6               95.2  
1975      7               10.3               57.1  
1975      8               10.1              155.7  
1975      9                8.9              115.9  
1975     10                2.3               38.0  
1975     11               -2.7               96.9  
1975     12               -5.9               16.3  
1976      1               -6.1                9.5  
1976      2               -5.0               12.1  
1976      3               -5.0                4.5  
1976      4               -0.2               65.6  
1976      5                5.1               42.0  
1976      6                9.5               61.7  
1976      7               10.2              135.3  
1976      8                8.0               89.4  
1976      9                4.9              256.3  
1976     10                3.4              232.5  
1976     11               -3.0              126.3  
1976     12               -8.5               38.4  
1977      1               -7.2              127.3  
1977      2               -5.4               98.9  
1977      3               -1.3               96.0  
1977      4               -1.2              110.7  
1977      5                3.3              155.6  
1977      6                7.1               74.1  
1977      7                9.3              128.2  
1977      8                8.5              239.4  
1977      9                6.6               12.4  
1977     10                4.1              117.2  
1977     11               -2.5               26.9  
1977     12               -5.5               41.1  
1978      1               -7.8              109.5  
1978      2               -7.0               76.5  
1978      3               -3.1               72.2  
1978      4               -1.0               81.7  
1978      5                3.2               94.4  
1978      6                7.1              117.9  
1978      7                9.0              110.3  
1978      8                9.4               64.5  
1978      9                7.8               19.6  
1978     10                3.2               64.8  
1978     11               -1.5                2.9  
1978     12               -5.1               61.0  
1979      1               -9.6              107.5  
1979      2               -6.3               30.8  
1979      3               -3.3              180.0  
1979      4               -2.3               77.0  
1979      5                3.5               84.7  
1979      6                8.9               89.8  
1979      7               10.1              118.1  
1979      8                9.0              146.1  
1979      9                7.1              119.7  
1979     10                3.8              253.9  
1979     11               -3.0               97.0  
1979     12               -4.7               88.2  
1980      1               -9.7               53.9  
1980      2               -6.2                4.9  
1980      3               -3.9               41.2  
1980      4               -2.3                3.2  
1980      5                3.1               60.0  
1980      6                6.9              148.5  
1980      7                8.7              141.3  
1980      8               11.7               46.9  
1980      9                8.7               35.8  
1980     10                1.8              248.9  
1980     11               -2.5               25.2  
1980     12               -7.1               10.7  
1981      1               -8.8               18.8  
1981      2               -8.7                3.0  
1981      3               -1.5              155.4  
1981      4                2.1               30.6  
1981      5                4.3              181.9  
1981      6                8.9               76.5  
1981      7                9.3              238.6  
1981      8               11.1               38.6  
1981      9                8.0              219.0  
1981     10                2.4               74.0  
1981     11               -3.0               12.2  
1981     12               -6.7              128.0  
1982      1               -5.9               47.2  
1982      2               -7.7                7.3  
1982      3               -5.4               46.0  
1982      4               -0.4                0.6  
1982      5                5.2              106.6  
1982      6                9.4              157.2  
1982      7               12.4              119.0  
1982      8               10.2              204.4  
1982      9                9.3              101.1  
1982     10                2.7              114.1  
1982     11               -0.8              106.6  
1982     12               -5.2               84.6  
1983      1               -4.4               61.5  
1983      2               -9.8                8.6  
1983      3               -2.4               36.4  
1983      4                0.1              157.5  
1983      5                2.9              357.3  
1983      6                8.9               39.0  
1983      7               13.7               28.0  
1983      8               10.5               85.9  
1983      9                8.4              103.3  
1983     10                4.6               32.7  
1983     11               -0.9               23.2  
1983     12               -5.3               63.7  
1984      1               -7.6               16.6  
1984      2               -8.6               50.9  
1984      3               -6.2               73.4  
1984      4               -1.4               42.4  
1984      5                1.6              173.3  
1984      6                7.8               62.5  
1984      7               10.6               30.1  
1984      8               10.0               45.2  
1984      9                5.7              192.2  
1984     10                3.6              104.6  
1984     11               -0.3               43.6  
1984     12               -5.0               50.3  
1985      1              -10.9              106.6  
1985      2               -5.4               11.5  
1985      3               -5.4              123.7  
1985      4               -0.4               65.0  
1985      5                4.4              182.4  
1985      6                7.2              152.4  
1985      7               12.0              136.0  
1985      8               10.3              184.5  
1985      9                9.1               39.4  
1985     10                4.5               10.4  
1985     11               -4.9               42.2  
1985     12               -3.2               50.3  
1986      1               -7.8               81.6  
1986      2              -11.4               18.3  
1986      3               -3.5               43.2  
1986      4               -1.1              235.4  
1986      5                6.4              103.9  
1986      6                8.7               42.6  
1986      7               10.4               98.1  
1986      8               10.3              215.1  
1986      9                8.2               43.3  
1986     10                4.6               24.2  
1986     11               -0.9               24.5  
1986     12               -5.4               36.3  
1987      1               -8.5               15.1  
1987      2               -5.3               71.2  
1987      3               -7.3               36.4  
1987      4                0.7               50.2  
1987      5                3.0               59.5  
1987      6                6.9              222.1  
1987      7               11.0              229.9  
1987      8               10.6              131.8  
1987      9               10.2              106.8  
1987     10                4.4              109.6  
1987     11               -0.9               45.1  
1987     12               -2.8               18.5  
1988      1               -4.4               85.9  
1988      2               -7.4               59.0  
1988      3               -4.5               48.4  
1988      4                1.4               38.3  
1988      5                5.8              110.6  
1988      6                7.6               90.2  
1988      7               11.5               95.9  
1988      8               11.1              189.0  
1988      9                7.7               69.7  
1988     10                5.3              192.5  
1988     11               -2.3                6.0  
1988     12               -3.5               43.4  
1989      1               -5.0                0.0  
1989      2               -3.4               84.8  
1989      3               -1.0               38.4  
1989      4               -0.3              216.0  
1989      5                5.4               29.6  
1989      6                7.5              108.3  
1989      7               11.3              117.5  
1989      8               10.7               56.8  
1989      9                7.7               40.1  
1989     10                4.1               12.0  
1989     11               -2.6               65.2  
1989     12               -4.4              151.8  
1990      1               -7.1               48.6  
1990      2               -3.7               89.1  
1990      3               -1.0                5.9  
1990      4               -0.1               71.4  
1990      5                6.5               62.2  
1990      6                8.0              221.3  
1990      7               11.6               54.5  
1990      8               11.2               66.2  
1990      9                6.9               56.8  
1990     10                4.8              117.7  
1990     11               -2.9              126.4  
1990     12               -8.3               50.8  
1991      1               -7.9               20.7  
1991      2               -9.8               26.9  
1991      3               -0.3              102.7  
1991      4               -0.8               27.1  
1991      5                2.8               39.2  
1991      6                8.0              142.4  
1991      7               12.4               89.9  
1991      8               12.8                6.0  
1991      9                9.7              160.6  
1991     10                2.6               62.4  
1991     11               -2.5               51.8  
1991     12               -6.7               92.7  
1992      1               -7.2               20.6  
1992      2               -5.9               25.0  
1992      3               -2.6              104.7  
1992      4                0.3               93.2  
1992      5                6.8               34.8  
1992      6                7.8              143.5  
1992      7               11.5              116.2  
1992      8               13.2              141.6  
1992      9                7.4               91.0  
1992     10                1.8              123.6  
1992     11                0.6               52.8  
1992     12               -5.5               99.9  
1993      1               -4.4               10.4  
1993      2               -6.9               15.4  
1993      3               -3.9               15.2  
1993      4                1.4               29.0  
1993      5                6.7               85.1  
1993      6                9.3              160.8  
1993      7                9.9              101.4  
1993      8               11.6               89.9  
1993      9                6.3              219.4  
1993     10                2.2              298.4  
1993     11               -3.1               20.6  
1993     12               -3.9               52.8  
1994      1               -5.6              135.9  
1994      2               -7.4               67.1  
1994      3                0.7               15.8  
1994      4               -0.3               37.9  
1994      5                6.1               87.5  
1994      6                9.5               55.8  
1994      7               13.4               75.3  
1994      8               12.7              128.9  
1994      9                7.6              247.8  
1994     10                3.3               40.2  
1994     11                2.3               64.9  
1994     12               -2.6               21.0  
1995      1               -8.1               77.5  
1995      2               -3.7               38.1  
1995      3               -5.5               29.6  
1995      4                1.3               94.4  
1995      5                5.4               88.1  
1995      6                7.5               82.5  
1995      7               13.2               63.7  
1995      8               10.5               80.0  
1995      9                5.1              148.0  
1995     10                6.1                6.2  
1995     11               -1.7               33.9  
1995     12               -4.8               41.7  
1996      1               -5.8               50.6  
1996      2               -8.5               14.2  
1996      3               -4.8               13.8  
1996      4                1.5               14.4  
1996      5                5.7              103.9  
1996      6                9.8               88.7  
1996      7               10.1              131.5  
1996      8               10.0              208.3  
1996      9                5.0               10.1  
1996     10                3.4              101.8  
1996     11               -1.9              267.7  
1996     12               -5.3               54.8  
1997      1               -6.9               32.5  
1997      2               -5.3                9.7  
1997      3               -0.8               15.0  
1997      4               -0.4               28.6  
1997      5                5.3               86.7  
1997      6                7.8              260.6  
1997      7                9.2              110.7  
1997      8               11.7               90.4  
1997      9                9.9               35.0  
1997     10                3.8               26.7  
1997     11               -1.5              151.6  
1997     12               -4.3               68.5  
1998      1               -6.8               44.4  
1998      2               -4.0               15.0  
1998      3               -3.1                5.7  
1998      4               -0.2              140.2  
1998      5                6.0               39.0  
1998      6                9.6              141.3  
1998      7               11.7              136.3  
1998      8               11.9              102.9  
1998      9                6.8              149.8  
1998     10                2.8              129.1  
1998     11               -3.8               21.5  
1998     12               -5.1                7.1  
1999      1               -6.8               53.2  
1999      2               -7.4               54.1  
1999      3               -2.7               78.0  
1999      4                0.3               86.8  
1999      5                7.3               87.2  
1999      6                8.0              182.1  
1999      7               11.4               69.0  
1999      8               11.2              220.8  
1999      9                9.2              216.5  
1999     10                3.9              138.7  
1999     11               -3.6               38.4  
1999     12               -6.0               74.7  
2000      1               -7.9               20.4  
2000      2               -5.0               29.0  
2000      3               -2.0               58.4  
2000      4                1.1              140.4  
2000      5                6.7              109.5  
2000      6               10.1               77.2  
2000      7                9.3              190.2  
2000      8               11.4              163.3  
2000      9                8.2               94.4  
2000     10                4.2              250.9  
2000     11               -2.4              391.0  
2000     12               -3.9               82.3  
2001      1               -6.9              156.2  
2001      2               -5.8               61.8  
2001      3               -1.2              115.4  
2001      4               -0.9               67.5  
2001      5                7.5               42.2  
2001      6                8.1              208.0  
2001      7               11.4              105.4  
2001      8               12.4              188.8  
2001      9                4.8               86.6  
2001     10                6.0               82.3  
2001     11               -1.0               26.1  
2001     12               -6.4                4.5  
2002      1               -5.6                6.9  
2002      2               -3.3               44.5  
2002      3               -1.7               74.1  
2002      4                1.3               25.5  
2002      5                5.6              239.8  
2002      6               11.3              104.2  
2002      7               10.8               91.0  
2002      8               10.5              109.2  
2002      9                6.6               31.2  
2002     10                3.5               79.3  
2002     11               -0.3              454.7  
2002     12               -3.8               33.7  
2003      1               -7.7               24.8  
2003      2              -10.2                9.0  
2003      3               -1.6                1.5  
2003      4                0.6               43.5  
2003      5                7.2               85.6  
2003      6               13.4               39.0  
2003      7               12.4              135.4  
2003      8               14.6              107.1  
2003      9                7.6               17.8  
2003     10                1.1              132.1  
2003     11               -0.3               74.6  
2003     12               -4.2               44.4  
2004      1               -7.1               33.1  
2004      2               -5.9               24.1  
2004      3               -3.7               28.3  
2004      4                1.0               40.8  
2004      5                4.6               75.7  
2004      6                9.7               55.0  
2004      7               11.0              111.1  
2004      8               11.0              150.7  
2004      9                8.6               36.8  
2004     10                4.9              139.5  
2004     11               -1.1               60.2  
2004     12               -5.2               33.8  
2005      1               -7.5               36.0  
2005      2               -9.9               16.7  
2005      3               -3.2               22.2  
2005      4                1.3               50.9  
2005      5                6.5               90.2  
2005      6               10.9               50.7  
2005      7               11.4               91.8  
2005      8                9.6              121.7  
2005      9                8.6               50.6  
2005     10                4.0               68.5  
2005     11               -2.5               25.9  
2005     12               -8.0               82.8  
2006      1               -9.8               33.9  
2006      2               -7.5               32.3  
2006      3               -5.4               54.2  
2006      4                1.0               48.7  
2006      5                5.9               58.6  
2006      6               10.1               58.8  
2006      7               13.5              122.0  
2006      8                8.4               95.8  
2006      9                9.8               67.9  
2006     10                5.6               72.3  
2006     11                0.7               24.9  
2006     12               -3.5               84.1  
2007      1               -3.6               72.0  
2007      2               -3.5               34.3  
2007      3               -2.0               55.1  
2007      4                4.9                1.2  
2007      5                6.7              102.6  
2007      6               10.2              116.4  
2007      7               11.4              118.8  
2007      8               10.4              169.9  
2007      9                6.6               79.1  
2007     10                3.7               35.2  
2007     11               -2.1               84.8  
2007     12               -5.7               22.1  
2008      1               -5.3               67.0  
2008      2               -4.4               14.5  
2008      3               -2.7               49.9  
2008      4                0.2              151.1  
2008      5                6.1              120.5  
2008      6               10.5               97.8  
2008      7               11.1              226.8  
2008      8               11.4              110.7  
2008      9                6.6              137.4  
2008     10                3.7              147.0  
2008     11               -2.3              171.6  
2008     12               -5.6               93.2  
2009      1               -9.5               43.6  
2009      2               -6.6              118.6  
2009      3               -2.8               68.8  
2009      4                2.3               50.4  
2009      5                7.6               36.2  
2009      6                9.7              107.4  
2009      7               11.7              127.2  
2009      8               12.8               45.0  
2009      9                9.6               54.1  
2009     10                3.3               48.7  
2009     11               -0.2              132.2  
2009     12               -6.8               82.9  
2010      1              -10.1               10.4  
2010      2               -7.5               15.9  
2010      3               -4.2               18.2  
2010      4                1.0               20.0  
2010      5                5.0              166.8  
2010      6               10.2               65.1  
2010      7               13.3               66.8  
2010      8               10.6              171.6  
2010      9                7.3              126.9  
2010     10                2.7               81.6  
2010     11               -2.1              115.2  
2010     12               -7.2               75.4  
2011      1               -7.0               14.3  
2011      2               -4.8               10.1  
2011      3               -1.8               27.0  
2011      4                4.1                3.9  
2011      5                7.4              102.3  
2011      6               10.0              136.4  
2011      7               10.2              144.6  
2011      8               12.3              100.7  
2011      9                9.7              141.0  
2011     10                3.6               94.4  
2011     11                0.6               41.4  
2011     12               -4.0               42.0  
2012      1               -5.6               44.0  
2012      2               -8.5                2.7  
2012      3                0.3               52.6  
2012      4                0.5               91.6  
2012      5                6.7               65.5  
2012      6               10.8              142.3  
2012      7               12.1              106.5  
2012      8               12.8              140.8  
2012      9                8.3               88.6  
2012     10                3.6               45.9  
2012     11               -0.6              140.2  
2012     12               -6.4               29.5  
2013      1               -6.0               35.0  
2013      2               -9.1               15.2  
2013      3               -4.2               38.0  
2013      4                1.6               94.9  
2013      5                4.1              135.0  
2013      6                9.1               47.5  
2013      7               12.9               27.8  
2013      8               11.6              104.6  
2013      9                8.6               50.5  
2013     10                4.6              121.7  
2013     11               -1.6               44.0  
2013     12               -4.1               59.3  
2014      1               -5.9              126.0  
2014      2               -5.0               96.5  
2014      3               -2.0               49.0  
2014      4                2.1               39.6  
2014      5                5.2               66.9  
2014      6                9.7              114.3  
2014      7               10.6              131.6  
2014      8                9.7              158.1  
2014      9                8.1               50.7  
2014     10                5.3              109.4  
2014     11                1.1              241.1  
2014     12               -2.8               29.4  
2015      1               -5.0               80.8  
2015      2               -7.2               30.1  
2015      3               -1.6               24.9  
2015      4                2.0               21.4  
2015      5                6.6              150.5  
2015      6               10.6               85.9  
2015      7               14.8               98.6  
2015      8               12.4              103.9  
2015      9                6.7              186.9  
2015     10                3.4               91.2  
2015     11                1.0                1.5  
2015     12               -1.7                2.3  
2016      1               -6.0               49.6  
2016      2               -3.7               56.2  
2016      3               -3.7               53.6  
2016      4                1.9              113.6  
2016      5                4.9              130.1  
2016      6                9.5              155.6  
2016      7               12.2              126.2  
2016      8               11.6               96.5  
2016      9                9.4               19.4  
2016     10                2.9               64.5  
2016     11               -1.2               73.8  
2016     12               -2.9                0.5  
2017      1               -9.4               16.2  
2017      2               -4.0               45.8  
2017      3                0.5               31.6  
2017      4                1.9               55.2  
2017      5                6.7               63.8  
2017      6               11.7              195.7  
2017      7               12.1               94.7  
2017      8               12.6              146.2  
2017      9                5.8              120.9  
2017     10                4.7               13.9  
2017     11               -2.2               39.4  
2017     12               -6.2              121.2  
2018      1               -4.7               82.0  
2018      2               -9.3               16.5  
2018      3               -3.8               80.8  
2018      4                2.4              100.2  
2018      5                7.4               83.0  
2018      6               11.1               26.7  
2018      7               13.0               81.6  
2018      8               12.7              118.4  
2018      9                9.7               37.2  
2018     10                5.4              254.3  
2018     11               -0.3               55.2  
2018     12               -4.7               53.6  
2019      1               -8.0               38.3  
2019      2               -4.4               63.2  
2019      3               -2.3               60.4  
2019      4                1.0              139.2  
2019      5                3.5               66.5  
2019      6               12.4              102.5  
2019      7               13.0               89.1  
2019      8               12.3              158.3  
2019      9                8.3               82.0  
2019     10                5.2              135.7  
2019     11               -1.7              213.6  
2019     12               -3.3               70.3  
2020      1               -5.8                9.5  
2020      2               -3.3               22.3  
2020      3               -2.5               55.3  
2020      4                2.7               24.6  
2020      5                7.0               63.5  
2020      6                9.2              144.7  
2020      7               12.6               75.5  
2020      8               12.2              193.0  
2020      9                8.7               68.1  
2020     10                2.2              178.7  
2020     11                0.2                6.3  
2020     12               -5.1              134.5  
2021      1               -8.4               88.8  
2021      2               -4.5               52.2  
2021      3               -3.7                7.7  
2021      4               -1.2               28.7  
2021      5                3.9              114.4  
2021      6               11.5               44.7  
